AA203CT30S3,"ALGOD 2-0 3AG3/8 COR3,0-3X45CM",3AA45520,3P13T,24
AA20CT30S3,"ALGODAO 2-0  AG3/8 COR3,0-45CM",AA45520,P13T,24
AA30CT30S3,"ALGODAO 3-0 AG3/8 COR3,0-45CM",AA45530,P14T,24
NL0CT19S3,"NYLON 0 AG3/8 COR1,9-45CM",NP43310,14505T,24
NL0CT24S3,"NYLON 0 AG3/8 COR2,4-45CM",,,24
NL0CT30S3,"NYLON 0 AG3/8 COR3,0-45CM",NP45310,,24
NL0CT40S3,"NYLON 0 AG3/8 COR4,0-45CM",NP47310,,24
NL1CT30S3,"NYLON 1 AG3/8 COR3,0-45CM",,,24
NL1CT40S3,"NYLON 1 AG3/8 COR4,0-45CM",,,24
NL203RT60S3,"NYLON 2-0 3AG RT COR6,0-3X75CM",,,24
NL20CT19S3,"NYLON 2-0 AG3/8 COR1,9-45CM",NP43320,14504T,24
NL20CT24S3,"NYLON 2-0 AG3/8 COR2,4-45CM",NP44320,,24
NL20CT30ES3,"NYLON 2-0 AG3/8 COR3,0-75CM",NP45320E,,24
NL20CT30S3,"NYLON 2-0 AG3/8 COR3,0-45CM",NP45320,1215T,24
NL20CT35S3,"NYLON 2-0 AG3/8 COR3,5-45CM",,1174T,24
NL20CT40S3,"NYLON 2-0 AG3/8 COR4,0-45CM",NP47320,,24
NL20RT60S3,"NYLON 2-0 AG RT COR6,0-75CM",NP69320E,,24
NL303RT60S3,"NYLON 3-0 3AG RT COR6,0-3X75CM",3NP69330,3627T,24
NL30CT19S3,"NYLON 3-0 AG3/8 COR1,9-45CM",NP43330,14503T,24
NL30CT24S3,"NYLON 3-0 AG3/8 COR2,4-45CM",NP84330,163T,24
NL30CT30ES3,"NYLON 3-0 AG3/8 COR3,0-75CM",NP45330E,,24
NL30CT30S3,"NYLON 3-0 AG3/8 COR3,0-45CM",NP45330,1171T,24
NL30CT35S3,"NYLON 3-0 AG3/8 COR3,5-45CM",,,24
NL30RT60S3,"NYLON 3-0 AG RT COR6,0-75CM",NP69330E,,24
NL403RT60S3,"NYLON 4-0 3AG RT COR6,0-3X75CM",3NP69340,3626T,24
NL40CT19S3,"NYLON 4-0 AG3/8 COR1,9-45CM",NP43340,14502T,24
NL40CT24S3,"NYLON 4-0 AG3/8 COR2,4-45CM",NP44340,1129T,24
NL40CT30ES3,"NYLON 4-0 AG3/8 COR3,0-75CM",NPN45340T,,24
NL40CT30S3,"NYLON 4-0 AG3/8 COR3,0-45CM",NP45340,1170T,24
NL40MT15S3,"NYLON 4-0 AG1/2 COR1,5-45CM",NP52340,,24
NL40MT26S3,"NYLON 4-0 AG1/2 COR2,6-45CM",NP54340,15502T,24
NL40RT60S3,"NYLON 4-0 AG RT COR6,0-75CM",NP69340E,,24
NL50CT19S3,"NYLON 5-0 AG3/8 COR1,9-45CM",NP43350,14501T,24
NL50MT15S3,"NL 5-0 AG 1/2 CORT 1,5-45CM S3",NP52350,,24
NL50MT26S3,"NYLON 5-0 AG1/2 COR2,6-45CM",NP54350,15501T,24
NL60CT19S3,"NYLON 6-0 AG3/8 COR1,9-45CM",NP43360,14500T,24
NL60MT16S3,"NYLON 6-0 AG1/2 COR1,6-45CM",NP52360,13500T,24
NL0MR40S3,"NYLON 0 AG1/2 CIL4,0-75CM",NP27310,,24
NL20CR30S3,"NYLON 2-0 AG3/8 CIL3,0-75CM",,,24
NL30CR30S3,"NYLON 3-0 AG3/8 CIL3,0-75CM",,,24
NL30MR35S3,"NYLON 3-0 AG1/2 CIL3,5-75CM",NP86330,V4653T,24
NL40MR20S3,"NYLON 4-0 AG1/2 CIL2,0-75CM",NP23340,V4452T,24
NL40MR26S3,"NYLON 4-0 AG1/2 CIL2,6-75CM",,V8552T,24
NL50CR13S3,"NYLON 5-0 AG3/8 CIL1,3-75CM",NP11350,V2351T,24
NL30CT19IS3,"NYLON 3-0 AG3/8 COR1,9-45CM",,,24
NL40CT19IS3,"NYLON 4-0 AG3/8 COR1,9-45CM",NB43340,,24
NL0MR40L,"NYLON 0 AG1/2 CIL4,0-150CM-LAC",NP87310,L886T,24
NL20MR40L,"NYL 2-0 AG1/2 CIL4,0-150CM-LAC",,,24
NL10CR38,"NYLON 10-0 AG3/8 CIL0,38-13CM",,2820G,12
NL10CR50,"NYLON 10-0 AG3/8 CIL0,5-15CM",NPM5010,W2814,12
NL80CR65,"NYLON 8-0 AG3/8 CIL0,65-15CM",NPM6580,W2808,12
NL90CR65,"NYLON 9-0 AG3/8 CIL0,65-15CM",NPM6590,2809G,12
NL20MT26S3,"NYLON 2-0 AG1/2 COR2,6-45CMS3",NP54320,N2035T,24
NL50MR10E,"NYLON 5-0 AG1/2 CIL1,0-75CM",NP21350,N5002T,24
NL0SA150,"NYLON 0 S/AG 1,5M",NP15010,FN505T,24
NL1SA150,"NYLON 1 S/AG 1,5M",,,24
NL20SA150,"NYLON 2-0 S/AG 1,5M",NP15020,FN504T,24
NL30SA150,"NYLON 3-0 S/AG 1,5M",NP15030,FN503T,24
NL40SA150,"NYLON 4-0 S/AG 1,5M",NP15040,FN502T,24
NL50SA150,"NYLON 5-0 S/AG 1,5M",,,24
PEV20RMR26,"POLIEST 2-0 AG1/2 CIL2,6-20CM",,,12
PEV20RWR20,"POLIEST 2-0 AG1/6 CIL2,0-20CM",PLSK2620,E7217G,12
PEV1MT36O,"POLIEST 1 AG 1/2 COR3,6-75CM",PL58701,X538T,24
PEV2MT40O,"POLIEST 2 AG 1/2 COR4,0-75CM",PL27702,X520T,24
PEV54MTC48O,"POLI 5 4AG 1/2 TC 4,8-75CM",PL88705,XYMB46G,12
PEV5MTC48O,"POLI 5 AG 1/2 TC 4,8-75CM",,,12
PEV0SA45,POLIEST VERDE 0 S/AG 15X45CM,PL710,SMV75T,24
PEV20SA45,POLIEST VERDE 2-0 S/AG 15X45CM,PL720,SMV74T,24
PEV30SA45,POLIEST VERDE 3-0 S/AG 15X45C,PL730,SMV73T,24
PEV40SA45,POLIEST VERDE 4-0 S/AG 15X45C,PL740,,24
PL20CR30G,"POLIPRO 2-0 AG3/8 CIL3,0-75CM",PP15620,8513T,24
PL30CR30G,"POLIPRO 3-0 AG3/8 CIL3,0-75CM",PP15630,8512T,24
PL30MR25G,"POLIPRO 3-0 AG1/2 CIL2,5-75CM",PP24630,8832T,24
PL40MR25G,"POLIPRO 4-0 AG1/2 CIL2,5-75CM",PP24640,8831T,24
PL0MR25R,"POLIPRO 0 AG1/2 CIL2,5-75CM",PP84610,8412T,24
PL0MR35R,"POLIPRO 0 AG1/2 CIL3,5-75CM",PP26610,8424T,24
PL0MR40R,"POLIPRO 0 AG1/2 CIL4,0-75CM",PP27610,8434T,24
PL1MR35R,"POLIPRO 1 AG1/2 CIL3,5-75CM",,,24
PL1MR40R,"POLIPRO 1 AG1/2 CIL4,0-75CM",,,24
PL20MR25R,"POLIPRO 2-0 AG1/2 CIL2,5-75CM",PP84620,8411T,24
PL20MR35R,"POLIPRO 2-0 AG1/2 CIL3,5-75CM",PP26620,8423T,24
PL20MR40R,"POLIPRO 2-0 AG1/2 CIL4,0-75CM",,,24
PL23CT75R,"POLIPRO 2 3AG3/8 COR7,5-3X50C",PP48602,3846G,12
PL2CT75R,"POLIPRO 2 AG3/8 COR7,5-50CM",PP48602E,,12
CC0CR30G,"C CROM 0 AG3/8 CIL3,0-75CM",CC15210,G114T,24
CC0MR25G,"C CROM 0 AG1/2 CIL2,5-75CM",CC24210,G124T,24
CC0MR30G,"C CROM 0 AG1/2 CIL3,0-75CM",CC25210,G165T,24
CC1CR30G,"C CROM 1 AG3/8 CIL3,0-75CM",CC15201,G115T,24
CC20CR30G,"C CROM 2-0 AG3/8 CIL3,0-75CM",CC15220,G113T,24
CC20MR20G,"C CROM 2-0 AG1/2 CIL2,0-75CM",CC23220,,24
CC20MR25G,"C CROM 2-0 AG1/2 CIL2,5-75CM",CC24220,G123T,24
CC20MR30G,"C CROM 2-0 AG1/2 CIL3,0-75CM",CC25220,G164T,24
CC20MR35G,"C CROM 2-0 AG1/2 CIL3,5-75CM",CC86220,G127T,24
CC30CR30G,"C CROM 3-0 AG3/8 CIL3,0-75CM",CC15230,G112T,24
CC30MR20G,"C CROM 3-0 AG1/2 CIL2,0-75CM",CC23230,G182T,24
CC30MR25G,"C CROM 3-0 AG1/2 CIL2,5-75CM",CC24230,G122T,24
CC30MR35G,"C CROM 3-0 AG1/2 CIL3,5-75CM",CC86230,,24
CC40CR30G,"C CROM 4-0 AG3/8 CIL3,0-75CM",CC15240,,24
CC40MR20G,"C CROM 4-0 AG1/2 CIL2,0-75CM",CC23240,G181T,24
CC40MR25G,"C CROM 4-0 AG1/2 CIL2,5-75CM",CC24240,,24
CC50MR20G,"C CROM 5-0 AG1/2 CIL2,0-75CM",CC23250,,24
CC0MR35R,"C CROM 0 AG1/2 CIL3,5-75CM",CC26210,812T,24
CC0MR40L,"C CROM 0 AG1/2 CIL4,0-1,5M-LAC",CC87210,1802T,24
CC0MR40R,"C CROM 0 AG1/2 CIL4,0-75CM",CC27210,802T,24
CC0MR50ER,"C CROM 0 AG1/2 CIL5,0-90CM",CC29210,904T,24
CC0MR50R,"C CROM 0 AG1/2 CIL5,0-75CM",CCN29210,VE,24
CC1MR40L,"C CROM 1 AG1/2 CIL4,0-1,5M-LAC",,,24
CC1MR40R,"C CROM 1 AG1/2 CIL4,0-75CM",CC27201,803T,24
CC1MR50ER,"C CROM 1 AG1/2 CIL5,0-90CM",CC29201,905T,24
CC1MR50R,"C CROM 1 AG1/2 CIL5,0-75CM",,,24
CC20MR25R,"C CROM 2-0 AG1/2 CIL2,5-75CM",CC94220,883T,24
CC20MR40L,"C CROM 2-0 AG1/2 CIL4,0-1,5M-L",CC87220,1801T,24
CC20MR40R,"C CROM 2-0 AG1/2 CIL4,0-75CM",CC27220,801T,24
CC0SA150,C CROM 0 S/AG 150CM BOBIN,CC15010E,CC125T,24
CC1SA150,C CROM 1 S/AG 150CM BOBIN,CC15001E,CC126T,24
CC20SA150,C CROM 2-0 S/AG 150CM BOBIN,CC15020E,CC124T,24
CC1MO90,"C CROM 1 AG1/2 ROM 9,0-75CM",CC89201,XY48G,12
CC40MR15,"C CROM 4-0 AG1/2 CIL1,5-75CM",CC22240,U203T,24
CC50MR15,"C CROM 5-0 AG1/2 CIL1,5-75CM",CC22250,U202T,24
CC40MT15S3,"C CROM 4-0 AG1/2 COR1,5-75CMS3",CC52240,,24
CC50MT15S3,"C CROM 5-0 AG1/2 COR1,5-75CMS3",,,24
CS20CR20,"BIOGUT S 2-0 3/8 R 2,0-75CM",CS13120,A2414T,24
CS0CR30G,"BIOGUT S 0 3/8 R 3,0-75CM",CS15110,G314T,24
CS0MR30G,"BIOGUT S 0 1/2 R 3,0-75CM",CS25110,G365T,24
CS0MR35G,"BIOGUT S 0 1/2 R 3,5-75CM",CS86110,G344T,24
CS1CR30G,"BIOGUT S 1 3/8 R 3,0-75CM",CS15101,G315T,24
CS20CR30G,"BIOGUT S 2-0 3/8 R 3,0-75CM",CS15120,G313T,24
CS20MR20G,"BIOGUT S 2-0 1/2 R 2,0-75CM",CS23120,,24
CS20MR25G,"BIOGUT S 2-0 1/2 R 2,5-75CM",CS24120,G323T,24
CS20MR30G,"BIOGUT S 2-0 1/2 R 3,0-75CM",CS25120,G364T,24
CS20MR35G,"BIOGUT S 2-0 1/2 R 3,5-75CM",CS86120,G343T,24
CS30CR30G,"BIOGUT S 3-0 3/8 R 3,0-75CM",CS15130,G312T,24
CS30MR20G,"BIOGUT S 3-0 1/2 R 2,0-75CM",CS23130,G318T,24
CS30MR25G,"BIOGUT S 3-0 1/2 R 2,5-75CM",CS24130,G322T,24
CS30MR30G,"BIOGUT S 3-0 1/2 R 3,0-75CM",CS25130,G363T,24
CS40CR30G,"BIOGUT S 4-0 3/8 R 3,0-75CM",CS15140,,24
CS40MR20G,"BIOGUT S 4-0 1/2 R 2,0-75CM",CS23140,G319T,24
CS40MR25G,"BIOGUT S 4-0 1/2 R 2,5-75CM",CS24140,,24
CS40MR30G,"BIOGUT S 4-0 1/2 R 3,0-75CM",CS25140,G362T,24
CS50MR20G,"BIOGUT 5-0 S 1/2 R 2,0-75CM",CS23150,G320T,24
